2025-01-28-095200,Start,87500000,Stop,108000000,fStep,33387,Points,615,RBW,100,Each_Column=One_sweep
-82.28,-83.09,-83.28,-82.44,-85.28,-87.28,-89.28,-86.59,-83.09,-89.78,-85.94,-86.28,-83.59,-82.28,-88.94,-87.09,-87.09,-83.59,-88.12,-87.62,-84.47,-87.31,-86.12,-85.31,-85.62,-82.47,-88.62,-86.62,-85.62,-83.31,-84.97,-85.47,-83.81,-84.47,-84.47,-91.47,-88.31,-86.31,-81.47,-87.62,-87.81,-86.62,-81.97,-81.47,-83.12,-83.97,-86.47,-84.62,-86.81,-89.97
-84.44,-87.78,-89.94,-81.59,-90.09,-87.28,-87.78,-84.09,-86.59,-88.44,-84.09,-87.44,-89.59,-83.78,-86.78,-83.28,-89.59,-88.78,-83.81,-88.97,-80.31,-86.31,-85.62,-82.47,-90.62,-86.12,-86.12,-87.12,-88.31,-87.31,-85.81,-87.31,-85.12,-83.81,-85.81,-84.47,-87.31,-89.47,-84.31,-83.62,-86.81,-87.31,-86.97,-83.47,-87.81,-87.62,-88.12,-82.97,-87.62,-87.97
-85.28,-84.44,-85.59,-84.44,-86.78,-84.78,-89.78,-86.94,-87.59,-87.78,-81.59,-84.78,-85.94,-84.09,-84.59,-84.94,-89.78,-85.28,-83.62,-87.31,-83.12,-83.31,-82.47,-87.47,-86.62,-84.47,-83.81,-84.31,-85.62,-84.97,-83.47,-88.81,-83.12,-89.47,-84.81,-84.31,-90.81,-84.31,-86.12,-84.62,-86.47,-88.12,-87.62,-86.62,-85.47,-87.31,-86.47,-85.47,-91.12,-83.47
-83.44,-85.44,-88.44,-86.09,-84.78,-87.44,-85.44,-85.59,-84.44,-87.28,-84.94,-86.28,-84.28,-91.94,-87.44,-87.28,-93.09,-84.28,-85.47,-88.81,-84.97,-87.31,-83.81,-87.31,-91.97,-90.47,-90.47,-84.62,-87.62,-88.81,-88.97,-89.62,-87.97,-89.62,-87.12,-86.97,-86.12,-84.31,-85.12,-85.47,-88.81,-89.97,-87.97,-88.31,-83.47,-83.81,-87.62,-88.12,-86.62,-86.81
-84.94,-89.28,-86.28,-86.44,-88.78,-84.78,-89.94,-85.94,-86.09,-87.09,-85.94,-88.44,-87.94,-85.94,-89.59,-88.28,-85.28,-88.94,-88.12,-85.81,-87.31,-85.12,-86.12,-87.12,-89.97,-87.81,-86.62,-86.12,-83.62,-82.47,-81.81,-81.97,-83.47,-89.47,-86.97,-83.97,-89.47,-85.81,-88.81,-87.31,-82.81,-88.12,-89.81,-84.97,-87.81,-90.31,-89.81,-86.47,-87.12,-86.31
-87.94,-87.94,-87.09,-86.78,-90.44,-88.78,-85.28,-84.59,-85.78,-82.28,-85.44,-86.59,-84.78,-89.09,-87.59,-87.09,-89.78,-86.78,-88.97,-88.62,-86.31,-89.31,-86.12,-88.81,-86.31,-85.47,-84.62,-88.31,-91.81,-85.62,-84.97,-84.81,-85.62,-88.97,-88.81,-86.47,-89.62,-83.97,-90.47,-88.62,-85.31,-88.47,-83.47,-86.62,-86.97,-83.47,-85.81,-88.47,-89.97,-84.62
-89.44,-89.44,-87.44,-87.28,-86.94,-81.78,-86.94,-84.94,-87.78,-81.44,-87.44,-83.09,-86.28,-87.94,-87.59,-88.09,-86.94,-85.59,-86.97,-88.12,-84.97,-86.97,-83.12,-91.81,-84.31,-85.47,-87.62,-85.31,-83.47,-84.81,-83.81,-85.62,-86.62,-89.62,-87.47,-87.97,-88.81,-85.81,-88.12,-87.62,-89.12,-90.47,-86.81,-89.31,-88.31,-85.31,-87.31,-84.62,-85.81,-88.12
-87.44,-87.44,-90.59,-85.78,-86.59,-86.28,-86.28,-86.28,-86.09,-87.94,-86.28,-89.78,-85.09,-85.59,-88.59,-87.28,-84.44,-86.09,-86.97,-88.62,-85.47,-88.81,-88.47,-85.47,-86.31,-82.31,-85.47,-86.62,-87.12,-83.97,-84.31,-85.47,-84.12,-83.47,-86.62,-81.12,-88.81,-84.47,-90.12,-86.31,-83.12,-87.47,-85.97,-85.62,-84.12,-87.97,-87.12,-84.62,-90.12,-87.81
-83.28,-83.28,-84.78,-83.59,-90.09,-84.28,-83.09,-82.78,-87.59,-85.09,-87.59,-87.78,-80.59,-86.78,-85.94,-88.44,-86.44,-85.78,-87.47,-79.12,-87.47,-89.12,-86.47,-86.62,-88.97,-84.12,-84.97,-85.62,-88.47,-86.12,-84.31,-83.97,-85.47,-90.12,-88.12,-87.81,-88.47,-84.31,-84.81,-89.81,-86.97,-87.47,-82.97,-84.47,-89.62,-82.47,-82.12,-86.31,-82.47,-82.62
-88.28,-88.28,-84.59,-86.28,-81.59,-84.09,-87.59,-85.94,-87.44,-86.94,-87.94,-87.78,-86.28,-87.28,-84.59,-88.28,-90.78,-85.09,-88.31,-84.97,-87.81,-85.97,-89.12,-85.62,-86.81,-85.97,-85.62,-87.31,-83.62,-89.31,-88.12,-83.62,-83.62,-85.62,-88.97,-85.62,-85.97,-84.12,-87.81,-82.12,-83.12,-91.47,-90.81,-84.62,-89.31,-85.81,-89.62,-86.12,-87.47,-86.81
