24890000.00,-105.97,-104.47,-112.47,-100.47,-104.47,-93.47,-105.47,-111.97,-105.47,-107.47,-100.47,-106.97,-103.97,-103.47,-111.47,-104.47,-111.47,-100.97,-99.97,-99.47,-108.97,-107.47,-110.97,-106.97,-112.47,-105.97,-113.97,-104.47,-102.97,-120.97,-107.47,-112.97,-106.47,-109.97,-110.47,-102.97,-112.47,-116.97,-109.97,-108.97,-105.97,-109.47,-116.47,-112.47,-105.97,-105.47,-113.47,-113.47,-108.47,-111.97
24890502.00,-111.47,-104.47,-109.97,-104.47,-107.47,-108.47,-106.47,-109.97,-104.97,-111.97,-105.47,-117.47,-103.97,-108.97,-104.47,-109.97,-105.97,-113.47,-105.47,-105.97,-106.47,-113.97,-101.97,-103.97,-104.47,-109.97,-113.97,-105.47,-104.97,-106.47,-103.97,-104.97,-108.47,-116.47,-113.47,-103.47,-117.47,-108.47,-107.47,-107.97,-105.97,-108.47,-108.97,-112.97,-104.97,-105.97,-108.97,-110.97,-107.47,-109.97
24891005.00,-107.47,-109.47,-111.97,-109.97,-97.97,-108.97,-111.47,-113.47,-102.97,-108.97,-112.47,-104.97,-116.97,-109.97,-108.47,-111.97,-99.97,-107.47,-102.47,-106.47,-108.97,-114.47,-110.97,-109.47,-104.47,-104.97,-104.97,-107.47,-107.47,-104.47,-107.47,-106.97,-102.97,-105.47,-106.47,-115.47,-108.47,-102.97,-102.47,-110.47,-110.47,-117.97,-110.97,-105.47,-108.97,-104.97,-106.47,-103.97,-104.47,-108.97
24891507.00,-115.97,-95.97,-105.97,-105.47,-107.97,-103.97,-109.97,-110.47,-97.47,-111.97,-106.97,-107.47,-109.47,-106.47,-108.97,-111.47,-113.47,-100.47,-103.97,-110.47,-110.97,-105.97,-105.97,-102.47,-108.97,-104.47,-108.97,-111.47,-101.97,-116.47,-112.97,-105.97,-100.47,-106.47,-107.47,-102.47,-101.97,-108.97,-109.97,-106.97,-112.97,-104.97,-109.97,-113.97,-98.97,-106.97,-106.97,-118.47,-111.97,-112.47
24892010.00,-107.47,-111.97,-106.47,-108.47,-101.47,-103.97,-106.47,-104.47,-105.47,-107.97,-104.47,-112.47,-108.97,-102.97,-111.47,-109.47,-115.47,-114.97,-105.97,-108.97,-108.47,-112.97,-105.47,-104.97,-104.97,-109.47,-105.97,-99.97,-113.97,-110.47,-108.97,-102.97,-110.47,-106.47,-106.47,-112.47,-117.47,-110.97,-108.47,-108.97,-104.97,-111.47,-107.47,-106.47,-103.47,-103.97,-111.97,-101.47,-106.97,-105.47
24892512.00,-108.47,-101.47,-100.97,-106.47,-109.97,-99.97,-112.47,-104.97,-106.47,-107.47,-113.97,-119.47,-113.97,-106.97,-105.47,-101.97,-105.47,-107.47,-100.47,-107.97,-108.97,-111.47,-98.97,-109.47,-102.97,-108.47,-103.97,-105.97,-102.47,-105.97,-110.97,-105.97,-110.97,-104.47,-106.97,-107.47,-106.97,-111.47,-96.47,-100.47,-108.47,-114.47,-106.47,-105.97,-109.97,-108.47,-105.97,-110.97,-107.97,-107.47
24893015.00,-107.97,-103.97,-107.47,-101.97,-111.47,-110.47,-108.97,-112.97,-103.97,-109.97,-110.47,-104.97,-108.47,-102.47,-114.97,-111.97,-110.47,-103.97,-106.97,-106.97,-106.97,-111.47,-99.47,-103.97,-106.47,-107.97,-111.97,-111.97,-110.97,-110.97,-110.97,-112.47,-98.47,-107.47,-109.97,-116.97,-110.97,-108.47,-107.97,-108.97,-104.97,-119.47,-110.47,-109.97,-107.47,-107.47,-117.97,-101.97,-107.97,-107.47
24893517.00,-113.97,-107.47,-101.97,-103.97,-109.97,-110.97,-108.97,-103.47,-104.97,-108.97,-112.97,-108.47,-115.47,-104.97,-109.47,-114.47,-107.47,-111.97,-104.97,-111.47,-112.47,-107.97,-107.47,-108.47,-110.47,-102.47,-106.97,-103.47,-109.97,-112.47,-110.97,-110.47,-109.97,-108.47,-114.97,-108.47,-118.47,-106.47,-105.97,-102.97,-103.47,-106.97,-102.47,-112.97,-108.47,-108.97,-108.97,-102.47,-111.47,-105.97
24894020.00,-105.97,-103.97,-107.97,-101.47,-100.47,-108.97,-102.97,-105.47,-99.97,-108.97,-101.97,-106.47,-104.97,-102.97,-106.47,-105.97,-103.47,-106.47,-102.97,-102.47,-108.97,-108.97,-101.47,-108.97,-101.97,-103.47,-104.97,-109.97,-109.97,-111.47,-100.97,-113.47,-107.97,-112.97,-104.47,-105.47,-103.47,-104.47,-104.47,-100.47,-109.47,-108.47,-110.97,-109.47,-113.47,-100.47,-104.97,-109.97,-105.97,-114.97
24894522.00,-99.47,-100.47,-105.97,-108.97,-107.47,-108.97,-103.47,-113.97,-109.97,-108.47,-102.97,-107.97,-106.47,-105.47,-114.47,-99.97,-106.47,-119.97,-106.47,-112.47,-103.97,-116.97,-100.97,-104.97,-111.47,-115.47,-105.97,-116.97,-113.97,-107.47,-106.47,-110.97,-100.47,-101.47,-115.47,-107.97,-101.47,-113.97,-103.97,-103.47,-111.47,-107.47,-112.47,-111.97,-114.97,-112.97,-109.97,-107.97,-107.97,-99.97
