2390000000.00,-113.53,-109.03,-116.03,-113.03,-112.00
2390100166.00,-111.50,-113.53,-114.53,-111.50,-114.50
2390200333.00,-112.50,-113.53,-111.53,-110.00,-112.50
2390300500.00,-113.50,-112.03,-110.53,-110.53,-113.50
2390400667.00,-113.50,-111.03,-113.50,-113.50,-113.50
2390500834.00,-109.53,-114.56,-115.00,-115.00,-109.53
2390601001.00,-114.03,-107.56,-112.00,-112.00,-114.03
2390701168.00,-115.00,-109.53,-111.50,-111.50,-115.00
2390801335.00,-113.00,-114.03,-113.50,-113.50,-113.00
2390901502.00,-111.00,-110.03,-115.50,-115.50,-111.00
2391001669.00,-110.53,-110.53,-114.50,-114.50,-110.53
2391101836.00,-111.03,-114.56,-113.50,-113.50,-111.03
2391202003.00,-114.50,-117.06,-111.03,-111.03,-114.50
2391302170.00,-112.03,-115.53,-108.50,-108.50,-113.03
2391402337.00,-110.50,-116.03,-110.53,-110.53,-112.53
2391502504.00,-114.00,-112.56,-116.03,-116.03,-118.03
2391602671.00,-110.03,-111.03,-110.50,-110.50,-109.53
2391702838.00,-113.00,-113.06,-113.00,-113.00,-118.03
2391803005.00,-109.00,-109.53,-114.53,-114.53,-113.53
2391903171.00,-118.53,-108.06,-110.50,-110.50,-109.00
2392003338.00,-109.00,-111.53,-113.03,-113.03,-113.50
2392103505.00,-115.03,-108.03,-115.50,-115.50,-113.53
2392203672.00,-113.50,-116.03,-115.00,-115.00,-113.50
2392303839.00,-117.03,-112.56,-113.53,-113.53,-113.50
2392404006.00,-119.53,-110.06,-111.03,-111.03,-110.53
2392504173.00,-115.53,-113.53,-109.03,-109.03,-109.50
2392604340.00,-111.50,-109.53,-111.00,-111.00,-112.03
2392704507.00,-110.03,-111.53,-114.53,-114.53,-109.00
2392804674.00,-117.03,-106.03,-111.53,-111.53,-113.00
2392904841.00,-112.00,-112.03,-111.50,-111.50,-112.50
2393005008.00,-112.53,-109.53,-112.03,-112.03,-114.50
2393105175.00,-113.00,-113.56,-117.03,-117.03,-112.50
2393205342.00,-111.50,-114.53,-110.50,-110.50,-112.50
2393305509.00,-112.53,-112.53,-113.00,-113.00,-114.00
2393405676.00,-111.03,-112.56,-109.53,-109.53,-109.53
2393505843.00,-110.50,-112.06,-111.53,-111.53,-114.03
2393606010.00,-109.00,-110.53,-114.03,-115.50,-114.53
2393706176.00,-116.03,-114.53,-113.53,-118.50,-110.00
2393806343.00,-110.00,-112.56,-111.03,-114.00,-116.50
2393906510.00,-111.00,-114.06,-109.53,-110.00,-113.03
2394006677.00,-116.53,-115.03,-112.50,-114.00,-113.00
2394106844.00,-113.53,-114.06,-109.00,-112.03,-110.00
2394207011.00,-111.50,-113.03,-113.53,-109.50,-113.00
2394307178.00,-113.50,-116.03,-113.03,-110.50,-111.53
2394407345.00,-109.03,-115.56,-114.50,-110.00,-112.03
2394507512.00,-116.00,-115.56,-110.03,-111.53,-114.00
2394607679.00,-112.53,-112.06,-110.50,-113.53,-113.50
2394707846.00,-109.00,-111.06,-115.03,-114.53,-114.53
2394808013.00,-111.50,-112.53,-114.00,-117.00,-115.03
2394908180.00,-111.53,-112.53,-110.50,-112.03,-113.00
2395008347.00,-109.53,-114.06,-111.53,-113.00,-108.50
